15541A0581,RT31051,COMPILER DESIGN,23,13,0
15541A0581,RT31052,DATA COMMUNICATION,19,15,0
15541A0581,RT31054,DATABASE MANAGEMENT SYSTEMS,21,16,0
15545A0205,RT31026,LINEAR & DIGITAL IC APPLICATIONS,25,31,3
15545A0208,RT31024,ELECTRICAL MACHINES-III,18,15,0
15545A0208,RT31025,POWER ELECTRONICS,23,24,3
15545A0208,RT31026,LINEAR & DIGITAL IC APPLICATIONS,20,28,3
15545A0301,RT31031,DYNAMICS OF MACHINERY,23,29,3
15545A0302,RT31016,IPR & PATENTS,18,27,2
15545A0302,RT31031,DYNAMICS OF MACHINERY,18,15,0
15545A0302,RT31032,METAL CUTTING & MACHINE TOOLS,18,17,0
15545A0302,RT31033,DESIGN OF MACHINE MEMBERS-I,18,17,0
15545A0302,RT31034,INSTRUMENTATION & CONTROL SYSTEMS,18,24,3
15545A0302,RT31035,THERMAL ENGINEERING-II,16,28,3
15545A0303,RT31032,METAL CUTTING & MACHINE TOOLS,17,28,3
15545A0304,RT31031,DYNAMICS OF MACHINERY,17,31,3
15545A0308,RT31031,DYNAMICS OF MACHINERY,18,16,0
15545A0308,RT31034,INSTRUMENTATION & CONTROL SYSTEMS,24,24,3
15545A0308,RT31035,THERMAL ENGINEERING-II,21,25,3
15545A0308,RT31036,METROLOGY,22,24,3
15545A0313,RT31031,DYNAMICS OF MACHINERY,21,20,0
15545A0313,RT31035,THERMAL ENGINEERING-II,16,29,3
15545A0313,RT31036,METROLOGY,19,24,3
15545A0401,RT31041,PULSE & DIGITAL CIRCUITS,16,-1,0
15545A0401,RT31043,CONTROL SYSTEMS,10,-1,0
