13541A0427,RT42045,PROJECT & SEMINAR,55,135,9
13541A0428,RT42041,CELLULAR MOBILE COMMUNICATION,18,26,3
13541A0428,RT42042,ELECTRONIC MEASUREMENTS AND INSTRUMENTATION,19,17,0
13541A0428,RT42043C,EMBEDDED SYSTEMS,21,35,3
13541A0428,RT42044D,BIO-MEDICAL INSTRUMENTATION,18,7,0
13541A0428,RT42045,PROJECT & SEMINAR,55,135,9
13541A0429,RT42041,CELLULAR MOBILE COMMUNICATION,21,32,3
13541A0429,RT42042,ELECTRONIC MEASUREMENTS AND INSTRUMENTATION,20,34,3
13541A0429,RT42043C,EMBEDDED SYSTEMS,16,32,3
13541A0429,RT42044D,BIO-MEDICAL INSTRUMENTATION,20,33,3
13541A0429,RT42045,PROJECT & SEMINAR,53,135,9
13541A0430,RT42041,CELLULAR MOBILE COMMUNICATION,22,37,3
13541A0430,RT42042,ELECTRONIC MEASUREMENTS AND INSTRUMENTATION,22,39,3
13541A0430,RT42043C,EMBEDDED SYSTEMS,21,32,3
13541A0430,RT42044D,BIO-MEDICAL INSTRUMENTATION,20,31,3
13541A0430,RT42045,PROJECT & SEMINAR,58,138,9
13541A0431,RT42041,CELLULAR MOBILE COMMUNICATION,23,27,3
13541A0431,RT42042,ELECTRONIC MEASUREMENTS AND INSTRUMENTATION,25,47,3
13541A0431,RT42043C,EMBEDDED SYSTEMS,25,45,3
13541A0431,RT42044D,BIO-MEDICAL INSTRUMENTATION,25,36,3
13541A0431,RT42045,PROJECT & SEMINAR,60,139,9
13541A0432,RT42041,CELLULAR MOBILE COMMUNICATION,23,44,3
13541A0432,RT42042,ELECTRONIC MEASUREMENTS AND INSTRUMENTATION,23,54,3
13541A0432,RT42043C,EMBEDDED SYSTEMS,22,53,3
13541A0432,RT42044D,BIO-MEDICAL INSTRUMENTATION,25,39,3
13541A0432,RT42045,PROJECT & SEMINAR,58,138,9
13541A0433,RT42041,CELLULAR MOBILE COMMUNICATION,21,24,3
13541A0433,RT42042,ELECTRONIC MEASUREMENTS AND INSTRUMENTATION,20,18,0
13541A0433,RT42043C,EMBEDDED SYSTEMS,18,24,3
13541A0433,RT42044D,BIO-MEDICAL INSTRUMENTATION,20,24,3
13541A0433,RT42045,PROJECT & SEMINAR,54,133,9
13541A0434,RT42041,CELLULAR MOBILE COMMUNICATION,24,40,3
13541A0434,RT42042,ELECTRONIC MEASUREMENTS AND INSTRUMENTATION,24,50,3
13541A0434,RT42043C,EMBEDDED SYSTEMS,20,44,3
13541A0434,RT42044D,BIO-MEDICAL INSTRUMENTATION,23,40,3
13541A0434,RT42045,PROJECT & SEMINAR,58,139,9
13541A0435,RT42041,CELLULAR MOBILE COMMUNICATION,23,24,3
13541A0435,RT42042,ELECTRONIC MEASUREMENTS AND INSTRUMENTATION,20,25,3
13541A0435,RT42043C,EMBEDDED SYSTEMS,20,34,3
13541A0435,RT42044D,BIO-MEDICAL INSTRUMENTATION,23,34,3
13541A0435,RT42045,PROJECT & SEMINAR,56,137,9
