100810,14541A0474,RT32041,MICROPROCESSORS AND MICROCONTROLLERS,29,39,3,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100811,14541A0476,RT32042,DIGITAL SIGNAL PROCESSING,28,37,3,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100812,14541A0478,RT32041,MICROPROCESSORS AND MICROCONTROLLERS,26,33,3,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100813,14541A0479,RT32045A,BIO MEDICAL ENGINEERING,17,-1,0,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100814,14541A0482,RT32041,MICROPROCESSORS AND MICROCONTROLLERS,23,20,0,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100815,14541A0482,RT32042,DIGITAL SIGNAL PROCESSING,24,29,3,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100816,14541A0482,RT32044,MICROWAVE ENGINEERING,17,31,3,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100817,14541A0506,RT32051,SOFTWARE ENGINEERING,23,6,0,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100818,14541A0506,RT32054,DESIGN AND ANALYSIS OF ALGORITHMS,26,36,3,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100819,14541A0506,RT32055,WEB TECHNOLOGIES,22,6,0,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100820,14541A0510,RT32051,SOFTWARE ENGINEERING,23,10,0,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100821,14541A0512,RT32055,WEB TECHNOLOGIES,25,14,0,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
